,PlayerAId,PlayerAName,PlayerAStatperGame,PlayerATeam,PlayerBId,PlayerBName,PlayerBStatperGame,PlayerBTeam,SeasonStart,Answer,StatCategory,Interval
0,201566,Russell Westbrook,10.37037037037037,OKC,201935,James Harden,11.197530864197532,HOU,2022,James Harden,AST,0.8271604938271615
0,201566,Russell Westbrook,10.37037037037037,OKC,2544,LeBron James,8.72972972972973,CLE,2022,Russell Westbrook,AST,1.6406406406406404
0,201566,Russell Westbrook,10.37037037037037,OKC,202322,John Wall,10.653846153846153,WAS,2022,John Wall,AST,0.28347578347578306
0,201566,Russell Westbrook,10.37037037037037,OKC,101108,Chris Paul,9.229508196721312,LAC,2022,Russell Westbrook,AST,1.140862173649058
0,201566,Russell Westbrook,10.37037037037037,OKC,201937,Ricky Rubio,9.093333333333334,MIN,2022,Russell Westbrook,AST,1.2770370370370365
0,201935,James Harden,11.197530864197532,HOU,202322,John Wall,10.653846153846153,WAS,2022,James Harden,AST,0.5436847103513784
0,201935,James Harden,11.197530864197532,HOU,101108,Chris Paul,9.229508196721312,LAC,2022,James Harden,AST,1.9680226674762196
0,202738,Isaiah Thomas,5.894736842105263,BOS,201942,DeMar DeRozan,3.918918918918919,TOR,2022,Isaiah Thomas,AST,1.975817923186344
0,202738,Isaiah Thomas,5.894736842105263,BOS,201939,Stephen Curry,6.632911392405063,GSW,2022,Stephen Curry,AST,0.7381745502998003
0,202738,Isaiah Thomas,5.894736842105263,BOS,202326,DeMarcus Cousins,4.611111111111111,NOP,2022,Isaiah Thomas,AST,1.2836257309941521
0,202738,Isaiah Thomas,5.894736842105263,BOS,203507,Giannis Antetokounmpo,5.425,MIL,2022,Isaiah Thomas,AST,0.469736842105263
0,202738,Isaiah Thomas,5.894736842105263,BOS,202689,Kemba Walker,5.493670886075949,CHA,2022,Isaiah Thomas,AST,0.4010659560293135
0,202738,Isaiah Thomas,5.894736842105263,BOS,202710,Jimmy Butler,5.4868421052631575,CHI,2022,Isaiah Thomas,AST,0.4078947368421053
0,202738,Isaiah Thomas,5.894736842105263,BOS,201142,Kevin Durant,4.838709677419355,GSW,2022,Isaiah Thomas,AST,1.0560271646859078
0,202738,Isaiah Thomas,5.894736842105263,BOS,201188,Marc Gasol,4.5675675675675675,MEM,2022,Isaiah Thomas,AST,1.3271692745376953
0,202738,Isaiah Thomas,5.894736842105263,BOS,201144,Mike Conley,6.27536231884058,MEM,2022,Mike Conley,AST,0.3806254767353172
0,202738,Isaiah Thomas,5.894736842105263,BOS,203471,Dennis Schroder,6.3164556962025316,ATL,2022,Dennis Schroder,AST,0.4217188540972687
0,202738,Isaiah Thomas,5.894736842105263,BOS,202339,Eric Bledsoe,6.333333333333333,PHX,2022,Eric Bledsoe,AST,0.4385964912280702
0,202738,Isaiah Thomas,5.894736842105263,BOS,200768,Kyle Lowry,6.95,TOR,2022,Kyle Lowry,AST,1.0552631578947373
0,202738,Isaiah Thomas,5.894736842105263,BOS,201933,Blake Griffin,4.918032786885246,LAC,2022,Isaiah Thomas,AST,0.9767040552200168
0,202738,Isaiah Thomas,5.894736842105263,BOS,201952,Jeff Teague,7.7926829268292686,IND,2022,Jeff Teague,AST,1.8979460847240057
0,202738,Isaiah Thomas,5.894736842105263,BOS,203999,Nikola Jokic,4.917808219178082,DEN,2022,Isaiah Thomas,AST,0.976928622927181
0,202738,Isaiah Thomas,5.894736842105263,BOS,201565,Derrick Rose,4.421875,NYK,2022,Isaiah Thomas,AST,1.4728618421052628
0,202738,Isaiah Thomas,5.894736842105263,BOS,203901,Elfrid Payton,6.451219512195122,ORL,2022,Elfrid Payton,AST,0.5564826700898591
0,202738,Isaiah Thomas,5.894736842105263,BOS,201950,Jrue Holiday,7.2835820895522385,NOP,2022,Jrue Holiday,AST,1.3888452474469757
0,202738,Isaiah Thomas,5.894736842105263,BOS,1626156,D'Angelo Russell,4.809523809523809,LAL,2022,Isaiah Thomas,AST,1.0852130325814535
0,202738,Isaiah Thomas,5.894736842105263,BOS,201143,Al Horford,4.955882352941177,BOS,2022,Isaiah Thomas,AST,0.9388544891640862
0,202738,Isaiah Thomas,5.894736842105263,BOS,201954,Darren Collison,4.588235294117647,SAC,2022,Isaiah Thomas,AST,1.306501547987616
0,202738,Isaiah Thomas,5.894736842105263,BOS,203935,Marcus Smart,4.6075949367088604,BOS,2022,Isaiah Thomas,AST,1.2871419053964024
0,202738,Isaiah Thomas,5.894736842105263,BOS,201588,George Hill,4.163265306122449,UTA,2022,Isaiah Thomas,AST,1.7314715359828137
0,202738,Isaiah Thomas,5.894736842105263,BOS,203110,Draymond Green,7.0131578947368425,GSW,2022,Draymond Green,AST,1.1184210526315796
0,202738,Isaiah Thomas,5.894736842105263,BOS,1627763,Malcolm Brogdon,4.226666666666667,MIL,2022,Isaiah Thomas,AST,1.6680701754385963
0,202738,Isaiah Thomas,5.894736842105263,BOS,202397,Ish Smith,5.160493827160494,DET,2022,Isaiah Thomas,AST,0.7342430149447692
0,202738,Isaiah Thomas,5.894736842105263,BOS,202704,Reggie Jackson,5.1923076923076925,DET,2022,Isaiah Thomas,AST,0.7024291497975703
0,202738,Isaiah Thomas,5.894736842105263,BOS,203079,Dion Waiters,4.3478260869565215,MIA,2022,Isaiah Thomas,AST,1.5469107551487413
0,202738,Isaiah Thomas,5.894736842105263,BOS,101114,Deron Williams,5.625,CLE,2022,Isaiah Thomas,AST,0.26973684210526283
0,202738,Isaiah Thomas,5.894736842105263,BOS,2749,Jameer Nelson,5.133333333333334,DEN,2022,Isaiah Thomas,AST,0.7614035087719291
0,202738,Isaiah Thomas,5.894736842105263,BOS,201951,Ty Lawson,4.840579710144928,SAC,2022,Isaiah Thomas,AST,1.0541571319603351
0,202738,Isaiah Thomas,5.894736842105263,BOS,201976,Patrick Beverley,4.1940298507462686,HOU,2022,Isaiah Thomas,AST,1.7007069913589943
0,202738,Isaiah Thomas,5.894736842105263,BOS,2225,Tony Parker,4.523809523809524,SAS,2022,Isaiah Thomas,AST,1.370927318295739
0,202738,Isaiah Thomas,5.894736842105263,BOS,1626144,Emmanuel Mudiay,3.9454545454545453,DEN,2022,Isaiah Thomas,AST,1.9492822966507175
0,202738,Isaiah Thomas,5.894736842105263,BOS,201943,Brandon Jennings,4.8765432098765435,WAS,2022,Isaiah Thomas,AST,1.0181936322287193
0,202738,Isaiah Thomas,5.894736842105263,BOS,203521,Matthew Dellavedova,4.697368421052632,MIL,2022,Isaiah Thomas,AST,1.197368421052631
0,202738,Isaiah Thomas,5.894736842105263,BOS,204456,T.J. McConnell,6.592592592592593,PHI,2022,T.J. McConnell,AST,0.6978557504873297
0,202738,Isaiah Thomas,5.894736842105263,BOS,200765,Rajon Rondo,6.681159420289855,CHI,2022,Rajon Rondo,AST,0.7864225781845926
0,202738,Isaiah Thomas,5.894736842105263,BOS,200771,Sergio Rodriguez,5.0588235294117645,PHI,2022,Isaiah Thomas,AST,0.8359133126934983
0,202738,Isaiah Thomas,5.894736842105263,BOS,202391,Jeremy Lin,5.111111111111111,BKN,2022,Isaiah Thomas,AST,0.7836257309941521
0,202738,Isaiah Thomas,5.894736842105263,BOS,204025,Tim Frazier,5.153846153846154,NOP,2022,Isaiah Thomas,AST,0.7408906882591086
0,202738,Isaiah Thomas,5.894736842105263,BOS,200826,J.J. Barea,5.514285714285714,DAL,2022,Isaiah Thomas,AST,0.3804511278195486
0,203081,Damian Lillard,5.866666666666666,POR,201942,DeMar DeRozan,3.918918918918919,TOR,2022,Damian Lillard,AST,1.9477477477477474
0,203081,Damian Lillard,5.866666666666666,POR,201939,Stephen Curry,6.632911392405063,GSW,2022,Stephen Curry,AST,0.7662447257383969
0,203081,Damian Lillard,5.866666666666666,POR,202326,DeMarcus Cousins,4.611111111111111,NOP,2022,Damian Lillard,AST,1.2555555555555555
0,203081,Damian Lillard,5.866666666666666,POR,203507,Giannis Antetokounmpo,5.425,MIL,2022,Damian Lillard,AST,0.44166666666666643
0,203081,Damian Lillard,5.866666666666666,POR,202689,Kemba Walker,5.493670886075949,CHA,2022,Damian Lillard,AST,0.3729957805907169
0,203081,Damian Lillard,5.866666666666666,POR,202710,Jimmy Butler,5.4868421052631575,CHI,2022,Damian Lillard,AST,0.37982456140350873
